chiles rellenos casserole,	vegetarian	mexican	main dish	vegetables,whole green chili_peppers milk sharp_cheddar cheese allpurpose_flour green_onions sliced salt shredded_mozzarella cheese green chili_salsa eggs,0
chinese pepper steak coca-cola,	beef	chinese	main dish,top_round sirloin_steak thin_strips boneless celery thinly_sliced oil onions thinly_sliced clove_garlic minced cocacola salt tomatoes ripe beef_broth bouillon cornstarch canned and undiluted cocacola green_bell pepper cored soy_sauce seeded and cut_into rice cooked and hot,0
indian chicken curry coca-cola,	indian	chicken	curry,chicken_breasts for experienced_palates chicken cutup raisins water chicken_broth salt cocacola celery_tops flour butter_or margarine coffee cream undiluted tart_apple peeled evaporated_milk and diced salt onion thinly_sliced white pepper curry_powder or_more rice cooked and hot,0
russian beef stroganoff coca-cola,	beef	main dish,chuck_steak round flour steak boneless water flour worcestershire_sauce salt mushrooms with_liquid oil shortening sour_cream onion finely_chopped parsley minced garlic minced mashed_potatoes noodles ocacola rice cooked and hot water,0
grecian green beans coca-cola,	vegetables	pickles,small whole sugar green_beans drained oregano_leaves shallots small onions prepared_mustard peeled thinly_sliced and salt separated_into individual cocacola rings olive_oil garlic minced vinegar fresh_parsley chopped,0
colombian fresh banana cake sea foam frosting coca-cola,	cakes,pkg yellow cocacola cake_mix bananas ripe and mashed baking_soda lemon_juice eggs nuts finely_chopped opt egg_whites cocacola firmly_packed light vanilla_extract brown_sugar dash salt cream_of tartar,0
tidal wave cocoa almond mousse,	desserts	low-cal,envelope_unflavored gelatin almond_extract sugar envelope ounces cocoa whipped_topping mix oz_can evaporated cold_skim milk skim_milk vanilla_extract,0
sand dunes cocoa expresso bars,	cookies,light_corn instant_coffee oil spread frozen egg_substitute ranulated_sugar thawed cocoa allpurpose_flour powdered instant finely_chopped walnuts espresso powdered powdered_sugar,0
sarahs pizza crust,	pizza	breads,yeast whole_wheat corn flour ugar and oat rye flours arm degrees depending_upon the water moodlikes of_the person flour we_use blend doing the making highprotein unbleached pizza_dough recipe it_is quick and easy about the_same,0
banana-date cake,	cakes,nonfat_milk egg_white vinegar mashed very_ripe bananas flour about sugar pureed_dates replaces baking_powder cup shortening baking_soda vanilla salt chopped_walnuts optional eggs powdered_sugar optional,0
baked asparagus mushroom omelet,	eggs	breakfast	asparagus,fresh_asparagus cut_in milk pieces salt package_of frozen_asparagus ground_nutmeg sliced fresh_mushrooms shredded_swiss liced green onion gruyere_cheese eggs snipped_parsley optional,0
moist rhubarb coffeecake,	cakes,cake_flour thawed frozen egg baking_powder substitute baking_soda nonfat palin yogurt salt applesauce plus tablespoons light vanilla brown_sugar packed coarsely_chopped rhubarb,0
raisin puree,	desserts,seedless_raisins vanilla water,0
sweet potato-currant mini bundt cakes,	cakes,oranges substitute currants cake_flour jars ounce sweet sugar potato baby_food puree baking_soda nonfat_milk salt thawed_frozen egg ground_cinnamon,0
rice flan tart candied ginger,	rice	desserts,nonfat_milk cheese vanilla_bean split finely slivered candied mediumgrain_rice ginger sugar lowfat sweet pastry ounce carton_frozen ground_cinnamon egg_substitute thawed powdered_sugar optional lowfat_ricotta cheese sliced candied_ginger ureed fatfree_cottage optional plus tablespoons oat flour ground_cardamom cinnamon blend sugar allpurpose_flour cold butter diced cake_flour canola_oil,0
chicken acapulco creamy shrimp sauce,	mexican	shellfish	chicken,poblano_peppers ozs chicken_breasts nion chopped halved deboned and edium shrimp lightly_pounded flat cooked peeled and chopped white pepper cilantro chopped salt to_taste monterey_jack cheese long strings shredded oil for_frying shallots diced small shrimp white_wine whipping_cream fish_stock chicken_broth butter,0
lean pork breakfast patties,	pork	breakfast	microwave,shreds_of whole bran_cereal dried_rosemary leaves pple_juice crushed _lb center_cut pork_loin salt ground hot pepper_flakes fennel_seed,0
greek stew,	greek	main dish	beef,stew_meat chopped clove_garlic diced butter water salt bay_leaf pepper small white onions onion chopped _lb mushrooms sliced can_tomato paste jack_cheese grated red_wine vinegar,0
baked fudge pudding,	desserts	puddings,sugar butter melted flour vanilla cocoa nuts chopped almonds eggs beaten,0
chocodiles,	cookies,brown_sugar firmly_packed flour all_purpose butter salt shortening topping,0
chocolate no bake cookies,	cookies,butter peanut_butter sugar oatmeal,0
easy double chocolate banana snack cake,	cakes,flour all_purpose banana mashed_ripe sugar lemon_juice cocoa unsweetened vanilla baking_soda chocolate_chips semisweet milk,0
paintbrush cookies,	cookies,shortening soft salt sugar egg_yolk paint,0
plum torte,	pies	plums	desserts,sugar salt butter eggs flour sifted plums halved halves baking_powder sugar lemon_juice cinnamon,0
stained glass candies,	candies,chocolate semisweet squ marshmallows coloured mini sugar icing walnuts egg beaten butter,0
corn muffins,	breads,unbleached_flour yellow_cornmeal sugar baking_powder salt large beaten egg_yolk milk cooking_oil yellow_corn meal,0
hot roll mix,	master mix,unbleached_all purpose_flour sugar salt instant_non fat dry milk,0
muffin mix,	master mix,unbleached_allpurpose flour sugar baking_powder salt vegetable_shortening,0
pancake mix,	master mix,unbleached_allpurpose flour instant_non fat dry milk sugar baking_powder salt,0
braised beef cube mix,	master mix,stew_meat onion soup_mix med bay_leaves cream_of mushroom_soup golden_mushroom soup cream_of celery soup water,0
meat sauce mix,	master mix,vegetable_shortening med onions sliced cloves_garlic fine minced celery finely_chopped carrots finely_chopped opt lean_ground beef salt pepper worcestershire_sauce btl ketchup btl hot ketchup,0
mexican meat mix,	master mix,beef_roast vegetable_shortening large onions chopped chopped green_chilis green chili_salsa garlic_powder flour salt ground_cumin juices_from beef_roast,0
italian meat sauce mix,	master mix,mild_italian sausage lean_ground beef salt pepper instant_minced garlic small onion peeled medium carrot peeled water sweet_basil leaves chili_powder thyme frozen cauliflower frozen_broccoli tomato_puree tomato_paste water,0
herbed stuffing mix,	master mix,slices bread cooking_oil instant_minced onion parsley_flakes garlic salt ground sage seasoned pepper,0
white sauce mix,	master mix	sauces,instant_nonfat dry milk regular non_fat dry milk unbleached_flour salt butter_or margarine,0
gingerbread mix,	master mix,unbleached_flour sugar baking_powder salt baking_soda cloves ginger cinnamon vegetable_shortening,0
granola mix,	master mix,old_fashioned rolled_oats wheat_germ _lb shredded_coconut shelled_raw sunflower_seeds sesame_seeds chopped_nuts brown_sugar firmly_packed water vegetable_oil honey molasses salt cinnamon vanilla raisins or_other dried_fruit,0
lemon pie-filling mix,	master mix,presweetened_lemonade mix plus cornstarch sugar to_taste salt,0
flaky pie crust mix,	master mix,unbleached_flour salt vegetable_shortening flaky_pie crust_mix ice_water large_egg beaten white_vinegar,0
russian refresher mix,	master mix,orange_drink mix powder lemonade_mix sugar cinnamon ground cloves,0
fruit slush mix,	master mix,sugar water frozen_orange juice lemon_juice pinapple_juice,0
chicken-flavored rice mix,	master mix,uncooked_long grain_rice instant chicken_bouillon salt dried_tarragon dried parsley_flakes white pepper,0
onion-flavored rice mix,	master mix,uncooked_long grain_rice onion soup_mix parsley_flakes salt,0
vegetarian rice mix,	master mix,raw longgrained_rice instant vegetarian_bouillon salt celery flakes onion flakes green pepper_flakes red_pepper flakes,0
super salad seasoning mix,	master mix,grated_parmesan cheese salt sesame_seed garlic salt instant_minced onion parsley_flakes dried_dill seed poppy_seeds celery seeds paprika freshly_ground pepper,0
home style dressing mix,	master mix,instant_minced onion salt garlic_powder parsley_flakes,0
chicken coating mix,	master mix,parsley_flakes ground oregano ground marjoram ground thyme ground rosemary garlic salt onion salt celery salt ground_ginger pepper ground sage paprika,0
chili seasoning mix,	master mix,unbleached_flour instant_minced onion chili_powder seasoned_salt crushed dried red_pepper instant_minced garlic sugar ground_cumin,0
sloppy joe seasoning mix,	master mix,instant_minced onion green pepper_flakes salt cornstarch instant_minced garlic dry_mustard celery_seed chili_powder,0
bacon-flavored dip mix,	master mix,instant bacon_bits instant_minced onion instant_beef bouillon minced garlic,0
onion-cheese dip mix,	master mix,instant_minced onion grated_parmesan cheese instant_beef bouillon garlic salt,0
hearty soup mix,	master mix,dry green split_peas pearl_barley alpahbet macaroni lentils brown_rice dry minced onion,0
tofu manicotti,	low-cal	pasta	main dish,manicotti_shells chopped fresh_mushrooms finely_chopped onion snipped_fresh parsley dried italian_seasoning paprika tofu drained egg_white slightly_beaten grated_parmesan cheese skim_milk flour garlic_powder shredded_lofat cheddar_chee,0
tex-mex beans cornmeal dumplings,	low-cal	vegetables	main dish,flour yellow_cornmeal baking_powder salt beaten egg_white skim_milk cooking_oil water chopped onion clove_garlic minced _oz can_garbanzo beans drained _oz can red_kidney beans drained _oz can_tomato sauce can diced green chili pepper chili_powder salt cornstarch,0
vegetable rice bake,	low-cal	vegetables	rice	main dish,instant chicken_bouillon long_grain rice chopped green pepper beaten eggs shredded zucchini skim_milk onion powder dried_basil crushed dried_oregano crushed shredded_lofat cheddar_chee local cream_cheese soft diced_pimento,0
vegetarian lasagna,	low-cal	pasta	cheese	main dish,lasagna_noodles frozen chopped broccoli can_tomatoes _oz can_tomato sauce chopped celery chopped onion chopped grnsweet red_pepper dried_basil crushed bay_leaves clove_garlic minnced beaten egg lofat_ricotta cottage grated_parmesan cheese shredded_mozzarella cheese,0
carrot onion puff,	low-cal	vegetables,chopped onion shredded_carrots water skim_milk oat_bran snipped_fresh parsley salt ground_nutmeg pepper shredded_cheddar cheese clove_garlic minced egg_whites,0
asparagus frittata,	low-cal	vegetables,fresh_asparagus spears eggs lofat_cottage cheese prepared_mustard salt pepper sliced fresh_mushrooms tomato cut_in wedges,0
curried beef potatoes,	low-cal	beef	main dish,beef_top round_steak potatoes halved beef_broth cornstarch salt chopped onion chopped green red_pepper cooking_oil curry_powder med tomato coarsely_chopped,0
ham potato skillet,	low-cal	meats,_lb ground fully_cooked ham sliced celery chopped potatoes fresh frz_cut green_beans chopped onion water dried_thyme crushed pepper grated_parmesan cheese,0
nora mill easy corn bread,	breads,nora_mill selfrise cornmeal vegetable_oil salt eggs beaten sour_cream cream style_corn,0
nora mill buckwheat buttermilk pancakes,	cakes,nora_mill buckwheat_flour nora_mill whole_wheat flour dry_yeast lukewarm_water buttermilk salt,0
nora mill whole wheat muffins,	breads,nora_mill whole_wheat mix eggs buttermilk milk is_okay melted_butter or_margarine,0
shami kebab,	main dish	beef	indian,lean_ground beef chili_powder dhal_or dried split_peas salt optional cumin_seed water cinnamon_stick onion chopped whole_cloves ciliantro chopped ginger_root peeled green_chillies chopped cloves_garlic liquid egg_substitute,0
ladys fingers okra,	side dish	indian	vegetables,fresh whole okra fresh_ginger root finely tomato chopped chopped red onion chopped vinegar,0
